Seconds,Value
3838204920.477984,
3838204922.4959998,
3838204923.6929922,
3838204926.5760002,T
3838204926.7399998,Th
3838204926.8699841,The
3838204926.9640002,The 
3838204927.1399999,The q
3838204927.248992,The qu
3838204927.3499842,The qui
3838204927.4569921,The quic
3838204927.5789762,The quick
3838204927.6880002,The quick 
3838204927.865984,The quick b
3838204928.484992,The quick br
3838204928.748992,The quick brw
3838204929.156992,The quick br
3838204929.422976,The quick bro
3838204929.5589762,The quick brow
3838204929.6859841,The quick brown
3838204929.8000002,The quick brown 
3838204930.0339842,The quick brown f
3838204930.1109762,The quick brown fo
3838204930.5609918,The quick brown fox
3838204930.7899842,The quick brown fox 
3838204930.9239998,The quick brown fox j
3838204931.0960002,The quick brown fox ju
3838204931.2629762,The quick brown fox jum
3838204931.3899841,The quick brown fox jump
3838204931.52,The quick brown fox jumps
3838204931.668992,The quick brown fox jumps 
3838204931.8000002,The quick brown fox jumps o
3838204931.9159999,The quick brown fox jumps ov
3838204932.0760002,The quick brown fox jumps ove
3838204932.1629758,The quick brown fox jumps over
3838204932.2480001,The quick brown fox jumps over 
3838204932.4139838,The quick brown fox jumps over t
3838204932.5209918,The quick brown fox jumps over th
3838204932.698976,The quick brown fox jumps over th 
3838204933.0389762,The quick brown fox jumps over th
3838204933.146976,The quick brown fox jumps over the
3838204933.2880001,The quick brown fox jumps over the 
3838204933.428,The quick brown fox jumps over the l
3838204933.5419841,The quick brown fox jumps over the la
3838204933.8339839,The quick brown fox jumps over the laz
3838204933.9339838,The quick brown fox jumps over the lazy
3838204934.0829759,The quick brown fox jumps over the lazy 
3838204934.3249922,The quick brown fox jumps over the lazy d
3838204934.3920002,The quick brown fox jumps over the lazy do
3838204934.8699841,The quick brown fox jumps over the lazy dog
3838204938.733984,The quick brown fox jumps over the lazy dog

3838204939.0169921,The quick brown fox jumps over the lazy dog
T
3838204939.1389761,The quick brown fox jumps over the lazy dog
Th
3838204939.253984,The quick brown fox jumps over the lazy dog
The
3838204939.3439999,The quick brown fox jumps over the lazy dog
The 
3838204939.4539838,The quick brown fox jumps over the lazy dog
The q
3838204939.5209918,The quick brown fox jumps over the lazy dog
The qu
3838204939.6049919,The quick brown fox jumps over the lazy dog
The qui
3838204939.7259841,The quick brown fox jumps over the lazy dog
The quic
3838204939.8269758,The quick brown fox jumps over the lazy dog
The quick
3838204939.9289918,The quick brown fox jumps over the lazy dog
The quick 
3838204940.0529919,The quick brown fox jumps over the lazy dog
The quick b
3838204940.2569919,The quick brown fox jumps over the lazy dog
The quick br
3838204940.350976,The quick brown fox jumps over the lazy dog
The quick bro
3838204940.5029759,The quick brown fox jumps over the lazy dog
The quick brow
3838204940.5629759,The quick brown fox jumps over the lazy dog
The quick brown
3838204940.6909761,The quick brown fox jumps over the lazy dog
The quick brown 
3838204940.8619838,The quick brown fox jumps over the lazy dog
The quick brown f
3838204940.9269762,The quick brown fox jumps over the lazy dog
The quick brown fo
3838204941.101984,The quick brown fox jumps over the lazy dog
The quick brown fox
3838204941.1919999,The quick brown fox jumps over the lazy dog
The quick brown fox 
3838204941.316,The quick brown fox jumps over the lazy dog
The quick brown fox j
3838204941.464992,The quick brown fox jumps over the lazy dog
The quick brown fox ju
3838204941.636992,The quick brown fox jumps over the lazy dog
The quick brown fox jum
3838204941.7519999,The quick brown fox jumps over the lazy dog
The quick brown fox jump
3838204941.8549762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps
3838204941.9989762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps 
3838204942.0739841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps o
3838204942.186976,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ov
3838204942.3099842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ove
3838204942.4099841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over
3838204942.4769921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over 
3838204942.6049919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over t
3838204942.713984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over te
3838204942.7419839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh
3838204942.8769922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh 
3838204943.1189761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh l
3838204943.2429762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh la
3838204943.5369921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh lax
3838204943.7379842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy
3838204944.0669761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy 
3838204944.3289919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy d
3838204944.3800001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy do
3838204944.5289922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
3838204944.6909761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog

3838204944.957984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
T
3838204945.1040001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
Th
3838204945.1799998,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The
3838204945.2729921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The 
3838204945.408,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The q
3838204945.4859838,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The qu
3838204945.5739841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The qui
3838204945.6979842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quic
3838204945.805984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick
3838204945.8959999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick 
3838204946.0779839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick b
3838204946.2819839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick br
3838204946.3749762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick bro
3838204946.4889922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brow
3838204946.5799999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown
3838204946.6560001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown 
3838204946.7919998,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown f
3838204946.8769922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fo
3838204947.0019841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox
3838204947.1129918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox 
3838204947.2749758,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox j
3838204947.4089918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox ju
3838204947.6079998,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jum
3838204947.6899838,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jump
3838204947.785984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps
3838204947.9200001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps 
3838204948.0479999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps o
3838204948.141984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps ov
3838204948.2519999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps ove
3838204948.3389759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over
3838204948.397984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over 
3838204948.5189762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over t
3838204948.6099839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over te
3838204948.6360002,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh
3838204948.796,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh 
3838204948.9720001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh l
3838204949.0129919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh la
3838204949.7649922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh laz
3838204949.8379841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh laze
3838204949.9189758,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey
3838204950.009984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey 
3838204950.1809921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey o
3838204950.2219839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
3838204950.8400002,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od

3838204951.2709761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
T
3838204951.4309759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
Th
3838204951.5,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The
3838204951.5929918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The 
3838204951.7889919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The u
3838204951.9209919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The ui
3838204952.2519999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The u
3838204952.3689919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The 
3838204952.4689922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The q
3838204952.5809922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The qu
3838204952.6859841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The qui
3838204952.7459841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic
3838204952.8959999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic 
3838204953.224,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic b
3838204953.4219842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic br
3838204953.504992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic bro
3838204953.6829758,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic brow
3838204953.820992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic brown
3838204953.9359999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over teh laxy dog
The quick brown fox jumps over teh lazey od
The quic brown 
3838204954.0849919,
3838204954.0859842,
