Seconds,Value.key,Value.pressed
3838363886.9859838,RShiftKey,True
3838363887.1729922,T,True
3838363887.256,RShiftKey,False
3838363887.2719998,T,False
3838363887.2919998,H,True
3838363887.4000001,H,False
3838363887.462976,E,True
3838363887.5760002,E,False
3838363887.5799999,Space,True
3838363887.7059841,Space,False
3838363887.8389759,Q,True
3838363887.9699841,Q,False
3838363888.0309758,U,True
3838363888.132,I,True
3838363888.1529918,U,False
3838363888.2600002,I,False
3838363888.3119998,C,True
3838363888.408,C,False
3838363888.4659839,K,True
3838363888.569984,K,False
3838363888.6929922,Space,True
3838363888.8400002,Space,False
3838363889.1829758,B,True
3838363889.2680001,B,False
3838363889.4039998,R,True
3838363889.494976,R,False
3838363889.5729918,O,True
3838363889.656992,O,False
3838363889.6949759,Q,True
3838363889.7829762,Q,False
3838363889.8449922,N,True
3838363889.9909759,N,False
3838363890.300992,Back,True
3838363890.3800001,Back,False
3838363890.4349761,Back,True
3838363890.5440001,Back,False
3838363890.7499838,W,True
3838363890.8499842,W,False
3838363890.9739838,N,True
3838363891.076992,N,False
3838363891.2249918,Space,True
3838363891.3429761,Space,False
3838363891.5939841,F,True
3838363891.698976,F,False
3838363891.8129921,O,True
3838363891.9259839,O,False
3838363892.076992,X,True
3838363892.1999998,X,False
3838363892.3289919,Space,True
3838363892.4419842,Space,False
3838363892.9640002,J,True
3838363893.0569921,J,False
3838363893.1379838,U,True
3838363893.2399998,U,False
3838363893.3439999,M,True
3838363893.4619842,M,False
3838363893.4699841,P,True
3838363893.5579839,P,False
3838363893.9149761,S,True
3838363894.0379839,S,False
3838363894.0929918,Space,True
3838363894.193984,Space,False
3838363894.2839999,O,True
3838363894.3829761,V,True
3838363894.3959999,O,False
3838363894.4720001,V,False
3838363894.4859838,E,True
3838363894.5869761,R,True
3838363894.6259842,E,False
3838363894.6680002,Space,True
3838363894.6809921,R,False
3838363894.7529922,Space,False
3838363894.7939839,T,True
3838363894.877984,H,True
3838363894.8939838,T,False
3838363894.9809918,H,False
3838363894.984992,E,True
3838363895.0509758,Space,True
3838363895.101984,E,False
3838363895.1560001,Space,False
3838363895.2769918,L,True
3838363895.4069762,A,True
3838363895.4200001,L,False
3838363895.504992,A,False
3838363895.6139841,Z,True
3838363895.7059841,Y,True
3838363895.7360001,Z,False
3838363895.836,Y,False
3838363895.8400002,Space,True
3838363895.908,Space,False
3838363896.0829759,D,True
3838363896.184,D,False
3838363896.1979842,O,True
3838363896.3149762,O,False
3838363896.3569918,G,True
3838363896.4409919,G,False
3838363896.9059839,Return,True
3838363897.004992,Return,False
