Value,Timestamp
0,2025-08-16T11:04:23.6936704+01:00
1,2025-08-16T11:04:23.7080576+01:00
2,2025-08-16T11:04:23.7080832+01:00
3,2025-08-16T11:04:23.7238656+01:00
4,2025-08-16T11:04:23.7392256+01:00
5,2025-08-16T11:04:23.7392768+01:00
6,2025-08-16T11:04:23.7550336+01:00
7,2025-08-16T11:04:23.7697536+01:00
8,2025-08-16T11:04:23.7697664+01:00
9,2025-08-16T11:04:23.7857920+01:00
10,2025-08-16T11:04:23.7858048+01:00
11,2025-08-16T11:04:23.7963776+01:00
12,2025-08-16T11:04:23.8083456+01:00
13,2025-08-16T11:04:23.8203776+01:00
14,2025-08-16T11:04:23.8264192+01:00
15,2025-08-16T11:04:23.8383872+01:00
16,2025-08-16T11:04:23.8504192+01:00
17,2025-08-16T11:04:23.8564096+01:00
18,2025-08-16T11:04:23.8683136+01:00
19,2025-08-16T11:04:23.8802816+01:00
20,2025-08-16T11:04:23.8863360+01:00
21,2025-08-16T11:04:23.8972928+01:00
22,2025-08-16T11:04:23.9083520+01:00
23,2025-08-16T11:04:23.9193472+01:00
24,2025-08-16T11:04:23.9253632+01:00
25,2025-08-16T11:04:23.9353600+01:00
26,2025-08-16T11:04:23.9471744+01:00
27,2025-08-16T11:04:23.9572864+01:00
28,2025-08-16T11:04:23.9683072+01:00
29,2025-08-16T11:04:23.9792512+01:00
30,2025-08-16T11:04:23.9893504+01:00
31,2025-08-16T11:04:24.0003200+01:00
32,2025-08-16T11:04:24.0053888+01:00
33,2025-08-16T11:04:24.0213376+01:00
34,2025-08-16T11:04:24.0263168+01:00
35,2025-08-16T11:04:24.0382848+01:00
36,2025-08-16T11:04:24.0483456+01:00
37,2025-08-16T11:04:24.0603648+01:00
38,2025-08-16T11:04:24.0663680+01:00
39,2025-08-16T11:04:24.0784000+01:00
40,2025-08-16T11:04:24.0894208+01:00
41,2025-08-16T11:04:24.0953216+01:00
42,2025-08-16T11:04:24.1063040+01:00
43,2025-08-16T11:04:24.1178624+01:00
44,2025-08-16T11:04:24.1287680+01:00
45,2025-08-16T11:04:24.1387776+01:00
46,2025-08-16T11:04:24.1503232+01:00
47,2025-08-16T11:04:24.1563136+01:00
48,2025-08-16T11:04:24.1663744+01:00
49,2025-08-16T11:04:24.1781504+01:00
50,2025-08-16T11:04:24.1883264+01:00
51,2025-08-16T11:04:24.1992192+01:00
52,2025-08-16T11:04:24.2112000+01:00
53,2025-08-16T11:04:24.2162560+01:00
54,2025-08-16T11:04:24.2272384+01:00
55,2025-08-16T11:04:24.2382080+01:00
56,2025-08-16T11:04:24.2484864+01:00
57,2025-08-16T11:04:24.2603776+01:00
58,2025-08-16T11:04:24.2664192+01:00
59,2025-08-16T11:04:24.2784640+01:00
60,2025-08-16T11:04:24.2894976+01:00
